Publication Type,Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Moore, KR; Jones, NN; Walton, R","Moore, Kristen R.; Jones, Natasha N.; Walton, Rebecca",,,Contextualizing the 4Rs Heuristic with Participant Stories,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This article explores the strategies technical and professional communicators use in addressing issues of social injustice in their daily lives, including academic workplaces and communities. In embracing a storytelling approach and Black Feminist epistemology, we explore the limits of traditional heuristics, illustrating the need to couple storytelling and lived experience with heuristic frameworks. Method: This study employs a qualitative, narrative inquiry methodology and semi structured interview data collection approaches. Results: Two elements of Walton, Moore, and Jones' (2019) 4Rs heuristic were expanded upon and further articulated through participant stories. To help people develop the ability to recognize injustice, data identified three sources for building expertise: lived experience, reading and proximity to lived experience, and accumulation within and across experiences. Revealing injustices occurred through both planned, often written, responses and in-the-moment responses. Conclusion: Stories and lived experience can augment our understanding of how heuristics work in context and provide a source of critical imagination for those attempting to use heuristics.",,,,,,,,,,,72,3,3,,,,,,,,,,,NOV,2021,68,4,,,,,8,25,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"McCool, LB","McCool, Lynn B.",,,Next-Gen Resumes: A Case Study of Using Transmedia Storytelling to Create Personal Branding on LinkedIn,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The focus of this article is to examine how professionals may be adapting the once-stable resume genre to a next-generation (next-gen) iteration of this genre by using multiple media to create and sustain personal branding. Method: Using a qualitative case study methodology, this research examined Linkedln's public user profiles. One case study participant was selected, whose profile met the criteria of promoting personal branding via multiple media artifacts, using transmedia storytelling techniques, and networking inside a participatory social media culture. Results: In this case study, the participant, Jacobs, used multimodal composing and transmedia storytelling techniques on Linkedln's social media site. Sharing smaller narratives across different media, Jacobs invites participation from his followers as well as responses from him to his followers. Within this participatory culture, his posts often blur personal and professional topics of interest but still remain singularly focused on promoting his personal branding to a wider audience Conclusion: Young professionals are not turning to traditional resources for advice on how to establish personal branding. Instead, they are turning to a networked, social world and using multiple media and transmedia storytelling techniques to attract followers, connect to other professionals, and network with potential employers.",,,,,,,,,,,34,3,3,,,,,,,,,,,AUG,2019,66,3,,,,,230,243,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Mueller, D","Mueller, David",,,The Transmedia Workbench: Technical Communication and User-Driven Innovation,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Emergent cultural and technological developments are actively involving users not just in how technology is understood and utilized but also in how it is produced and what its capabilities might be. From the perspective of technical communication, this direct involvement is enacted across networks of participatory media artifacts: webpages, user forums, tutorial videos, images, and open source software. In this article, I discuss how these transmedia networks support user-driven innovation and what roles technical communicators might play in creating, curating, and maintaining them. As a case study of a transmedia network, I examine the Werkstatt Workshop, the online user portal supporting Moog's Werkstatt synthesizer. Method: My case study employs discourse analytic techniques to show how the language of the Werkstatt Workshop is both descriptive and constitutive of an emergent social practice. To theorize roles for technical communicators, I draw on previous studies of user forums, open source software, and tactical technical communication. Results: Discourses circulating within the Werkstatt Workshop go beyond simply documenting system processes to construct a world in which network participants enact identities, form relationships, and reconfigure information across media boundaries. The open, participatory orientation of the network incentivizes information sharing and innovation, as users organize knowledge resources around a common set of technological problems. Conclusion: Emerging cultures of making and modifying present opportunities to technical communicators as content creators, network administrators, and critics, helping to construct, optimize, and seriously understand new, productive knowledge networks supporting user-centered production and innovation.",,,,,,,,,,,21,0,0,,,,,,,,,,,AUG,2019,66,3,,,,,244,256,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Evia, C; Priestley, M","Evia, Carlos; Priestley, Michael",,,Structured Authoring without XML: Evaluating Lightweight DITA for Technical Documentation,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: We present a proposal for HDITA, an HTML5-based version of the Darwin Information Typing Architecture (DITA). We report on an exploratory study about the feasibility of using HDITA as an authoring platform for technical content. We asked how novice technical writers describe and evaluate the complexity and difficulty of the different stages of the HDITA authoring process and if novice technical writers can author effective topic-based technical content in HTML5 (HDITA) without full knowledge of XML (DITA). Method: To evaluate the feasibility of authoring and publishing with HDITA, we modified the Instructions assignment of an introductory college course called Technical Writing. Students wrote blog posts during the authoring process and completed a survey on the perceived difficulty of HDITA. We evaluated the quality of HDITA Web deliverables with college students from diverse technical and academic backgrounds. Results: Most author students were somewhat confident authoring technical content with HDITA, and most said they were very likely to somewhat likely to use HDITA in the future for technical writing projects. Students reported that the most difficult part of using HDITA involved Web templates and not HDITA itself. Twenty-seven students evaluated HDITA deliverables and gave them positive scores using a rubric for assessing quality technical information. Conclusion: Acknowledging the small number of student authors involved in this feasibility study, we can still conclude that novice technical writers did not perceive creating technical documentation with HDITA as difficult or highly complex. Most student evaluators were able to complete the assigned tasks following the instructions created in HDITA.",,,,,,,,,,,34,4,4,,,,,,,,,,,FEB,2016,63,1,,,,,23,37,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Dubinsky, JM","Dubinsky, James M.",,,Products and Processes: Transition from Product Documentation to ... Integrated Technical Content,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To examine the attitudes and perspectives of individuals in successful companies who manage technical communicators with a specific focus on the products and processes that make up the bulk of their work. Method: This study used a modified Delphi method. To gather data, we used two sets of survey questions and two structured interviews. Results: This research helped to further explain the relationship between what technical communicators produce and how these products function in situating or framing their producers in relation to other subfields/related disciplines, such as UX design, information design, knowledge management, usability, and information architecture. Conclusion: While there is general agreement among the managers that the role of the technical communicator has to expand, there is no one clear agreed-upon strategy. Some companies are obtaining success using Agile methodology, while others are finding that this methodology, while stressing adaptability, is not easy to introduce. Corporate cultures do not change overnight. Still, integrated teams, a key component of Agile, are taking hold in most cultures. Equally important, the shift away from writing documents to directing content is well underway. The key now, as it has been for decades, is for technical communicators to highlight their value and make their contributions more visible.",,,,,,,,,,,38,19,19,,,,,,,,,,,MAY,2015,62,2,,,,,118,134,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Meloncon, L","Meloncon, Lisa",,,Current Overview of Academic Certificates in Technical and Professional Communication in the United States,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This paper provides a current overview of graduate and undergraduate academic certificates in the U. S. It details information about the current number of certificates, requirements, and courses, both required and elective. Method: The study employed qualitative inquiry methods based primarily on textual analysis and the deployment of codes to assign a summative attribute for course types. Results: The field presently offers 110 certificates, which represents a growth rate of 186% for graduate certificates and a growth rate of 191% for undergraduate certificates. Conclusion: Certificate curricular data show that, unlike other degree programs, there is still no consensus on what a certificate should be and what courses should be required. Questions are offered to help the field start conversations about certificates.",,,,,,,,,,,36,11,11,,,,,,,,,,,AUG,2012,59,3,,,,,207,222,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Carliner, S","Carliner, Saul",,,The Three Approaches to Professionalization in Technical Communication,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Explores internal divisions within our profession by exploring one particular type of tension: that technical communicators do not have a unified view of professionalization for the field. Method: Proposes that prevailing approaches to professionalization are rooted in theories of occupations, the exclusive right to perform a job. True occupations have such rights legally; aspiring occupations like ours are disciplines. Common components of an infrastructure for occupations include professional organizations, bodies of knowledge, education, professional activities, and certification. Results: Disciplines often establish these in anticipation of becoming an occupation, but some practicing professionals interpret and use them differently, resulting in a spectrum of approaches to professionalization. At one end of the spectrum is formal professionalism, which views professionalization as a stepping stone to full occupational status. It is rooted in a worldview that values expertise and sees the infrastructure of an occupation supporting the development of expertise and controlling access to the profession. In the center of the spectrum is quasiprofessionalization, in which individuals participate in the activities of the occupational infrastructure but without the expectation of exclusive rights to perform the work. Quasiprofessionalization is rooted in professional identity. At the other end of the spectrum is contraprofessionalization, which refers to initiatives that offer or promote professional services outside of parts of or the entire infrastructure, sometimes circumventing it completely. This world view is rooted in market theory and characterized by concepts like do-it-yourself (DIY), user-generated, and subject matter expert (SME)-provided documentation. Conclusions: The differing views suggest tensions regarding support for specific efforts to professionalize technical communication, including formal branding of the profession, establishment of certification, and support for professional organizations.",,,,,,,,,,,45,17,17,,,,,,,,,,,FEB,2012,59,1,,,,,49,65,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Alberts, WA; van der Geest, TM","Alberts, Wouter A.; van der Geest, Thea M.",,,Color Matters: Color as Trustworthiness Cue in Web sites,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: In today's increasingly technological world, the first impression of an orgnization is often based on a user's judgment of the corporate Web site's trustworthiness. This study investigates whether color as a Web site element can serve as a trustworthiness cue. In addition, the context of these Web sites was taken into account as research indicates that emotions associated with colors might differ between contexts. Method: An experimental study was conducted in which first impressions of trustworthiness of Web sites were measured in relation with the chosen color scheme. More than 200 participants evaluated eight finance, eight legal, and eight medical Web sites on perceived trustworthiness. Each respondent was presented with an identical Web site that only differed on the used color scheme. Four different color schemes (red, blue, green, and black) were put to the test. Result: The findings indicate that when the same Web site is presented using different color schemes, the Web sites are considered to have different levels of trustworthiness. Color has a statistically significant but limited effect, compared with all other reasons people can have to trust a Web site. Overall, the blue color scheme was perceived as most trustworthy and black as least trustworthy. The effect of the context is statistically significant, but very small. Conclusion: The color-trustworthiness relationship has never been demonstrated in the context of Web sites. This study supports the common sense idea with scientific evidence by showing that color matters in a user's judgment of a Web site's trustworthiness. Web site designers can increase the trustworthiness of a Web site by using an appropriate color scheme.",,,,,,,,,,,26,22,22,,,,,,,,,,,JUN,2011,58,2,,,,,149,160,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Hirst, R","Hirst, Russel",,,Virtues and vices of omission,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Explains the concept of stylistic brevity (brevitas) based on classical rhetoric Shows why skillful omissions, geared to purpose and audience, are fundamental to excellent style Ponders brevity as a virtue that should preside over all communication.",,,,,,,,,,,27,3,3,,,,,,,,,,,AUG,2007,54,3,,,,,308,318,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Lancaster, A","Lancaster, A",,,Rethinking our use of humanistic aspects: Effects of technical information beyond the intended audience,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,center dot Examines the use and effects of humanistic aspects in accident reports. center dot Identifies how negative effects might guide theories and best practices. center dot Provides a framework that supports an ethic of care to guide decisions.,,,,,,,,,,,31,6,6,,,,,,,,,,,MAY,2006,53,2,,,,,212,224,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Van der Geest, T","Van der Geest, T",,,Conducting usability studies with users who are elderly or have disabilities,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Argues that user-focused testing is essential to find usability problems of users who are elderly or have disabilities Offers practical guidelines and tips for thinking-aloud studies with those users.,,,,,,,,,,,25,6,6,,,,,,,,,,,FEB,2006,53,1,,,,,23,31,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Gillette, D","Gillette, D",,,Looking to cinema for direction: Incorporating motion into on-screen presentations of technical information,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Examines how motion can be used to create effective interactive information systems Demonstrates how a number of cinema techniques influence new media production and can be applied directly to technical communication practice.,,,,,,,,,,,45,5,5,,,,,,,,,,,MAY,2005,52,2,,,,,138,155,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Batova, T","Batova, Tatiana",,,Lost in Content Management: Constructing Quality as a Global Technical Communication Metric,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: As the demand for creating multilingual information products increases, so does the need to manage the costs of translation and to have sound approaches to producing high-quality multilingual texts. While component content management (CCM) is committed to both cost reduction and quality improvement, it also presents several challenges to multilingual quality. In this article, I present approaches for constructing multilingual quality as a global TC metric. Method: This article relies on the results of two surveys, one conducted through technical communication venues and one through technical translation venues. Results: The surveys identified contradictions in the beliefs and practices of multilingual quality in CCM environments that led to problems with multilingual quality. I group the contradictions and problems with the help of the activity theory lens and, based on this grouping, present questions that global technical communication project teams can ask themselves to improve their work practices. Conclusions: Effective communication between stakeholders and the knowledge of end-users are the two prerequisites to creating high-quality multilingual information products in CCM environments. Approaches to multilingual quality need to be collaborative and highly contextualized-dependent on business goals, user needs, and available resources. Taking the lead in multilingual quality management is one area for technical communicators to add value to their organizations.",,,,,,,,,,,95,1,1,,,,,,,,,,,FEB,2019,66,1,,,,,30,52,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Mackiewicz, J","Mackiewicz, Jo",,,Quality in Product Reviews: What Technical Communicators Should Know,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Measuring the quality of product reviews via helpfulness votes is problematic for several reasons. I delineate the components of product review quality in order to assist technical communicators who manage their organizations' user-generated content in identifying quality content and in helping reviewers produce quality content. Method/Corpus: I analyze results from secondary research on product reviews and discuss six important components of review quality. I focus most attention on five components of review quality that technical communicators can assess-informativeness, valance, credibility, conformity, and readability-and briefly describe a sixth component-user characteristics. I also exemplify these components, drawing from a corpus of 8,973 product reviews gathered in 2013 from a variety of retail and review websites. Results: Based on this analysis, I recommend strategies that technical communicators can use (1) to identify these components of review quality, (2) to develop a rich data set from which they can glean consumer wants and needs as well as trends related to their organizations' products, and (3) to help reviewers write better reviews. Conclusions: As the amount of user-generated content grows, the need to learn from it and the need to improve it grow. By using their knowledge and skills in new ways, technical communicators who manage and develop product reviews can stay relevant and necessary as organizations rely more and more heavily on user-generated content.",,,,,,,,,,,52,7,7,,,,,,,,,,,FEB,2015,62,1,,,,,3,18,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Baehr, C","Baehr, Craig",,,Developing a Sustainable Content Strategy for a Technical Communication Body of Knowledge,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To explore strategies, goals, and practices that are part of a sustainable content strategy for the evolution and development of the technical communication body of knowledge and, by implication, other bodies of knowledge. Method: To develop a sustainable content strategy for the body of knowledge project, informed by content analysis, user generated survey data, and benchmarked trends from other knowledge bases. Results: An important part of content strategy for a large-scale knowledge base, such as the TCBOK, involves innovating practices with regard to the information taxonomy, tools, content assets, and information development standards, as the product and user base matures. Successful technical communication knowledge bases employ taxonomies with higher level topics that represent specific disciplines and sub-disciplines within technical communication. Integrating the human user into content strategy involves a complex interplay of user expectation and feasible decision making. Conclusions: Developing a body of knowledge, particularly over time, may require an integrated or hybrid approach to content strategy, involving a complex set of factors that include the human user, content assets, and sustainable practices. Content strategy goals and objectives are also a function of the maturity of the user base and the content itself within a body of knowledge.",,,,,,,,,,,15,0,0,,,,,,,,,,,NOV,2013,60,4,,,,,293,306,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Behles, J","Behles, Jessica",,,The Use of Online Collaborative Writing Tools by Technical Communication Practitioners and Students,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This study investigated technical communication practitioners' and students' use of online collaborative writing tools (OCWTs), as well as their opinions about these tools. This family of tools includes wikis, online word processors, learning management systems (LMSs), and other collaborative tools. The data gathered were used to illustrate these tools' value to practitioners, as well as provide educators with recommendations about which tools to teach students. Method: Surveys were deployed to technical communication practitioners and students; each group had its own survey. The surveys gathered quantitative and qualitative data. The qualitative data were analyzed through a coding system. Results: Roughly 85% of both groups used OCWTs; however, practitioners used them daily while students used them only weekly. Practitioners primarily used tools chosen by their companies, and their most-used tools were Microsoft SharePoint, Google Docs, and company intranet. Students were features driven, and their most-used tools were Google Docs, PBWorks (formerly PBWiki), and Blackboard. Both groups had positive opinions overall about OCWTs. Conclusion: Technical communication practitioners appear to be using these tools often in the workplace, and several OCWTs appear to have become standards. These tools seem to hold value for practitioners, who use them for a wide variety of collaborative tasks. Technical communication students and educators should be aware of the OCWTs and collaborative tasks found in industry so that students can learn them. These tools include wikis, online word processors, and SharePoint (or something similar, such as an LMS). Finally, some tasks that practitioners perform (single sourcing, project management, and so forth) appear unfamiliar to students-it would be beneficial if students learned to perform these tasks in the classroom.",,,,,,,,,,,12,6,6,,,,,,,,,,,FEB,2013,60,1,,,,,28,44,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"McCool, M","McCool, Marrhew",,,Information architecture: Intercultural human factors,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Explores the claim that current internationalization and localization efforts presume particular cultural rather than structural or architectural reconsideration. Maps cultural dimensions to different elements of information architecture.,,,,,,,,,,,30,12,12,,,,,,,,,,,MAY,2006,53,2,,,,,167,183,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Duan, P; Gu, WP","Duan, P; Gu, WP",,,Technical communication and English for specific purposes: The development of technical communication in China's universities,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Reports the authors' experience teaching technical communication in China Concludes that introducing technical communication in the context of English for Specific Purposes would encourage technical communication teaching in China,,,,,,,,,,,17,14,14,,,,,,,,,,,NOV,2005,52,4,,,,,434,448,,,,,,,,,,,,,,,,,View Full Record in Web of Science
